,id,nome,siglaPartido,siglaUf,despesas
321,162332,Luiz Nishimori,PSD,PR,36007.68
301,74858,Lindbergh Farias,PT,RJ,35958.49999999999
322,204526,Luiz Philippe de Orleans e Bragança,PL,SP,35769.31
440,220588,Roberto Duarte,REPUBLICANOS,AC,35609.46
408,122974,Pedro Lucas Fernandes,UNIÃO,MA,35554.49
215,74270,Gilberto Nascimento,PSD,SP,35534.19
356,220661,Matheus Noronha,PL,CE,35500.0
452,220644,Rosângela Moro,UNIÃO,SP,34826.39
243,220570,Ismael Alexandrino,PSD,GO,34051.48
498,160569,Waldenor Pereira,PT,BA,33232.39
298,92102,Leur Lomanto Júnior,UNIÃO,BA,32761.45
373,220584,Murilo Galdino,REPUBLICANOS,PB,32600.069999999996
362,220607,Max Lemos,PDT,RJ,32291.7
296,74156,Leonardo Monteiro,PT,MG,32256.190000000006
211,220587,Gerlen Diniz,PP,AC,31787.77
89,205476,Charles Fernandes,PSD,BA,31733.37
72,204572,Capitão Alberto Neto,PL,AM,31652.29
202,204494,Fred Costa,PATRIOTA,MG,31576.399999999998
188,204398,Felipe Francischini,UNIÃO,PR,31549.14
496,178992,Vitor Lippi,PSDB,SP,31350.0
133,220652,Delegado Palumbo,MDB,SP,31314.839999999997
506,204559,Zé Neto,PT,BA,31189.640000000003
100,220666,Coronel Meira,PL,PE,30745.109999999997
80,74262,Carlos Sampaio,PSDB,SP,30721.62
486,160976,Tiririca,PL,SP,30674.09
292,141480,Lázaro Botelho,PP,TO,30639.82
109,74467,Damião Feliciano,UNIÃO,PB,30605.069999999996
26,178927,Aliel Machado,PV,PR,30573.23
169,178854,Elmar Nascimento,UNIÃO,BA,30448.519999999997
50,160600,Arthur Oliveira Maia,UNIÃO,BA,29801.470000000005
261,205550,Jorge Braz,REPUBLICANOS,RJ,29650.339999999997
270,209189,Joseildo Ramos,PT,BA,29068.99
210,74374,Geraldo Resende,PSDB,MS,29012.010000000002
348,74398,Maria do Rosário,PT,RS,29009.659999999996
470,204360,Silvia Cristina,PL,RO,28731.929999999997
43,160553,Antonio Brito,PSD,BA,28564.16
484,220597,Thiago Flores,MDB,RO,28333.829999999998
138,160588,Diego Andrade,PSD,MG,28216.489999999994
409,204395,Pedro Lupion,PP,PR,27982.5
428,221378,Reginete Bispo,PT,RS,27809.4
159,220686,Duarte Jr.,PSB,MA,27394.48
200,220700,Florentino Neto,PT,PI,27090.229999999996
181,171623,Fabio Reis,PSD,SE,27067.64
125,220625,Delegada Ione,AVANTE,MG,26949.52
312,160510,Luis Tibé,AVANTE,MG,26655.55
438,213274,Ricardo Silva,PSD,SP,26541.5
173,220663,Eriberto Medeiros,PSB,PE,26511.120000000003
482,220598,Tarcísio Motta,PSOL,RJ,26484.16
155,204351,Dr. Luiz Ovando,PP,MS,26459.699999999997
489,160610,Valmir Assunção,PT,BA,26381.64
331,220634,Marcelo Lima,PSB,SP,26272.519999999997
510,160592,Zeca Dirceu,PT,PR,26253.82
478,92776,Stefano Aguiar,PSD,MG,26222.4
193,204445,Fernando Mineiro,PT,RN,25977.050000000003
122,220659,Dayany Bittencourt,UNIÃO,CE,25681.760000000002
324,178866,Luizianne Lins,PT,CE,25589.9
295,80815,Leo Prates,PDT,BA,25387.88
294,220566,Lêda Borges,PSDB,GO,25169.160000000003
3,221328,Adilson Barroso,PL,SP,25128.269999999997
253,141456,Jilmar Tatto,PT,SP,24622.079999999998
233,220537,Helena Lima,MDB,RR,24615.64
463,220621,Sargento Gonçalves,PL,RN,24361.099999999995
6,121948,Adriano do Baldy,PP,GO,24321.410000000003
420,220580,Professora Goreth,PDT,AP,24012.6
183,220653,Fábio Teruel,MDB,SP,23488.44
503,74044,Wilson Santiago,REPUBLICANOS,PB,23376.899999999998
418,220533,Prof. Reginaldo Veras,PV,DF,23326.41
151,220610,Dr. Fernando Máximo,UNIÃO,RO,23233.37
130,220583,Delegado Fabio Costa,PP,AL,23082.71
116,204409,Daniel Trzeciak,PSDB,RS,22944.88
47,73433,Arlindo Chinaglia,PT,SP,21821.23
90,74171,Chico Alencar,PSOL,RJ,21744.360000000004
380,178986,Nilto Tatto,PT,SP,21737.549999999996
439,220693,Roberta Roma,PL,BA,21636.190000000002
471,220579,Silvia Waiãpi,PL,AP,21530.16
128,220649,Delegado da Cunha,PP,SP,21494.370000000003
52,123086,Átila Lira,PP,PI,21482.420000000006
406,220630,Pedro Aihara,PATRIOTA,MG,21237.14
236,220672,Henderson Pinto,MDB,PA,21204.57
361,204486,Mauro Benevides Filho,PDT,CE,21200.37
71,220548,Camila Jara,PT,MS,21112.0
460,220631,Samuel Viana,PL,MG,21062.5
479,204534,Tabata Amaral,PSB,SP,20978.63
203,220534,Fred Linhares,REPUBLICANOS,DF,20772.0
85,220699,Castro Neto,PSD,PI,20596.04
405,74574,Paulo Magalhães,PSD,BA,20573.100000000002
328,156190,Marcel van Hattem,NOVO,RS,20510.25
422,220586,Rafael Brito,MDB,AL,20438.180000000004
145,143632,Domingos Neto,PSD,CE,20316.690000000002
437,220633,Ricardo Salles,PL,SP,20163.099999999995
336,226410,Márcio Correa,MDB,GO,20000.0
443,220546,Rodolfo Nogueira,PL,MS,19847.180000000004
234,178909,Hélio Leite,UNIÃO,PA,19828.52
121,204511,David Soares,UNIÃO,SP,19824.26
303,204404,Lucas Redecker,PSDB,RS,19795.280000000006
461,204416,Sanderson,PL,RS,19718.470000000005
110,220629,Dandara,PT,MG,19710.260000000002
492,74283,Vicentinho,PT,SP,19556.69
216,220529,Gilson Daniel,PODE,ES,19533.27
24,220576,Alfredo Gaspar,UNIÃO,AL,19452.399999999998
464,220618,Sargento Portugal,PODE,RJ,19420.020000000008
44,220638,Antonio Carlos Rodrigues,PL,SP,19190.920000000002
363,220591,Meire Serafim,UNIÃO,AC,19124.030000000002
107,220555,Daiana Santos,PCdoB,RS,19064.96
429,220606,Reimont,PT,RJ,18899.97
132,220701,Delegado Matheus Laiola,UNIÃO,PR,18803.700000000004
33,107970,Ana Paula Leão,PP,MG,18784.92
172,161550,Emidinho Madeira,PL,MG,18778.36
297,74299,Leônidas Cristino,PDT,CE,18757.77
240,204533,Idilvan Alencar,PDT,CE,18719.24
242,98615,Ismael,PSD,SC,18636.95
308,178931,Luciano Ducci,PSB,PR,18327.030000000002
338,81055,Márcio Jerry,PCdoB,MA,18057.71
251,220567,Jeferson Rodrigues,REPUBLICANOS,GO,18050.0
32,220715,Amom Mandel,CIDADANIA,AM,17904.809999999994
377,178896,Newton Cardoso Jr,MDB,MG,17725.44
449,204480,Rogério Correia,PT,MG,17701.8
376,220703,Neto Carletto,PP,BA,17562.58
257,141459,João Maia,PL,RN,17500.21
135,220619,Delegado Ramagem,PL,RJ,17395.460000000003
13,73579,Alberto Fraga,PL,DF,17367.0
280,204372,Julio Cesar Ribeiro,REPUBLICANOS,DF,17131.93
67,210989,Bruno Farias,AVANTE,MG,17080.18
23,221148,Alfredinho,PT,SP,17076.92
286,204550,Júnior Mano,PL,CE,17076.02
256,74550,João Leão,PP,BA,16979.85
448,220695,Rogéria Santos,REPUBLICANOS,BA,16908.02
488,157130,Túlio Gadêlha,REDE,PE,16871.530000000002
354,220572,Marussa Boldrin,MDB,GO,16821.53
54,220577,Augusto Puppio,MDB,AP,16811.66
118,220557,Daniela Reinehr,PL,SC,16634.37
319,220658,Luiz Gastão,PSD,CE,16598.530000000002
263,178857,Jorge Solla,PT,BA,16525.699999999997
441,220613,Roberto Monteiro Pai,PL,RJ,16506.010000000002
473,220651,Simone Marquetto,MDB,SP,16330.28
18,178972,Alex Manente,CIDADANIA,SP,16196.6
367,220530,Messias Donato,REPUBLICANOS,ES,16081.619999999999
62,204358,Beto Pereira,PSDB,MS,15967.89
218,220526,Gilvan da Federal,PL,ES,15868.220000000001
250,74848,Jandira Feghali,PCdoB,RJ,15711.86
431,178989,Renata Abreu,PODE,SP,15703.8
289,204536,Kim Kataguiri,UNIÃO,SP,15364.519999999999
30,220707,Amanda Gentil,PP,MA,15351.93
347,220668,Maria Arraes,SOLIDARIEDADE,PE,15335.55
384,73692,Osmar Terra,MDB,RS,14916.77
395,74160,Patrus Ananias,PT,MG,14832.619999999999
75,204507,Carla Zambelli,PL,SP,14766.23
232,178873,Helder Salomão,PT,ES,14575.89
396,171617,Paulão,PT,AL,14463.41
31,204356,Amaro Neto,REPUBLICANOS,ES,14370.130000000001
119,62881,Danilo Forte,UNIÃO,CE,14318.05
491,204396,Vermelho,PL,PR,14201.880000000001
162,204541,Eduardo Bismarck,PDT,CE,14148.419999999998
34,220556,Ana Paula Lima,PT,SC,14057.26
476,178946,Soraya Santos,PL,RJ,13941.44
124,220565,Delegada Adriana Accorsi,PT,GO,13911.350000000002
212,204394,Gervásio Maia,PSB,PB,13487.69
101,222142,Coronel Telhada,PP,SP,13337.64
117,204459,Daniela do Waguinho,UNIÃO,RJ,13267.85
231,178964,Heitor Schuch,PSB,RS,13215.789999999999
381,74159,Odair Cunha,PT,MG,13134.84
421,221338,Professora Luciene Cavalcante,PSOL,SP,13081.4
291,74856,Laura Carneiro,PSD,RJ,12763.359999999999
327,220648,Marangoni,UNIÃO,SP,12719.57
226,220639,Guilherme Boulos,PSOL,SP,12694.0
370,178895,Misael Varella,PSD,MG,12655.180000000002
113,74060,Daniel Almeida,PCdoB,BA,12623.240000000002
55,160512,Aureo Ribeiro,SOLIDARIEDADE,RJ,12588.94
447,165470,Rodrigo Valadares,UNIÃO,SE,12408.819999999998
485,220684,Tião Medeiros,PP,PR,12385.789999999997
445,223128,Rodrigo Estacho,PSD,PR,12349.36
412,204406,Pedro Westphalen,PP,RS,12299.27
458,160635,Ruy Carneiro,PODE,PB,12288.41
152,220688,Dr. Francisco,PT,PI,12064.510000000002
329,179000,Marcelo Álvaro Antônio,PL,MG,12028.73
266,204472,José Medeiros,PL,MT,12015.460000000001
480,220682,Tadeu Veneri,PT,PR,11939.329999999998
393,220615,Pastor Henrique Vieira,PSOL,RJ,11900.199999999999
502,224333,Welter,PT,PR,11857.390000000001
332,133810,Marcelo Moraes,PL,RS,11790.99
368,171786,Miguel Ângelo,PT,MG,11733.649999999998
344,220547,Marcos Pollon,PL,MS,11476.22
487,178934,Toninho Wandscheer,PP,PR,11260.13
140,178929,Diego Garcia,REPUBLICANOS,PR,11218.51
153,204518,Dr. Frederico,PATRIOTA,MG,11179.95
462,204387,Sargento Fahur,PSD,PR,11039.7
165,220589,Eduardo Velloso,UNIÃO,AC,10973.670000000002
53,160665,Augusto Coutinho,REPUBLICANOS,PE,10866.939999999999
497,91228,Waldemar Oliveira,AVANTE,PE,10638.3
222,152605,Glauber Braga,PSOL,RJ,10504.05
0,220593,Abilio Brunini,PL,MT,10418.17
275,204474,Juarez Costa,MDB,MT,10346.17
93,74537,Claudio Cajado,PP,BA,10177.460000000001
453,220620,Rosângela Reis,PL,MG,10164.93
108,220692,Dal Barreto,UNIÃO,BA,9908.470000000003
