,id,nome,siglaPartido,siglaUf,despesas
271,220578,Josenildo,PDT,AP,2612.1799999999994
511,220592,Zezinho Barbary,PP,AC,2606.49
315,73778,Luiz Carlos Hauly,PODE,PR,2527.22
468,204557,Sidney Leite,PSD,AM,2483.47
378,204479,Nicoletti,UNIÃO,RR,2470.91
49,160541,Arthur Lira,PP,AL,2400.0
265,141470,José Guimarães,PT,CE,2223.1699999999996
369,178985,Miguel Lombardi,PL,SP,2210.1
102,220590,Coronel Ulysses,UNIÃO,AC,2204.95
64,204374,Bia Kicis,PL,DF,2072.9100000000003
397,220627,Paulinho Freire,UNIÃO,RN,2047.25
2,220714,Adail Filho,REPUBLICANOS,AM,2000.0
174,220645,Erika Hilton,PSOL,SP,1838.13
46,220549,Any Ortiz,CIDADANIA,RS,1826.5900000000001
274,215043,Josivaldo JP,PSD,MA,1728.17
16,160559,Alceu Moreira,MDB,RS,1569.2499999999998
277,220640,Juliana Cardoso,PT,SP,1545.89
115,204367,Daniel Freitas,PL,SC,1322.31
74,178829,Capitão Augusto,PL,SP,1109.42
148,204450,Doutor Luizinho,PP,RJ,974.8399999999999
385,204422,Ossesio Silva,REPUBLICANOS,PE,548.06
